execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance,consumption,device_type
11,2023-06-02 11:52:12.245029,53.4,86.7,25440,12,False,580.0,22,
11,2023-06-02 11:52:12.329340,51.9,86.7,25440,12,False,580.0,22,
12,2023-06-02 11:52:12.414315,51.9,86.7,25440,12,True,349.0,22,
11,2023-06-02 11:52:12.498175,54.5,86.7,25440,12,False,349.0,22,
11,2023-06-02 11:52:12.581905,53.7,86.7,25440,12,False,349.0,22,
11,2023-06-02 11:52:12.665508,54.1,86.7,25440,12,False,349.0,22,
11,2023-06-02 11:52:12.748787,53.4,86.7,25440,12,False,349.0,22,
11,2023-06-02 11:52:12.833101,53.0,86.7,25440,12,False,349.0,22,
31,2023-06-02 11:52:12.937167,56.9,86.6,25440,12,False,349.0,22,
23,2023-06-02 11:52:13.013969,60.3,86.6,25440,12,False,349.0,22,
10,2023-06-02 11:52:13.084887,60.2,86.6,25440,12,False,349.0,22,
10,2023-06-02 11:52:13.168527,53.4,86.6,25440,12,False,349.0,22,
10,2023-06-02 11:52:13.252188,53.4,86.6,25440,12,False,349.0,22,
12,2023-06-02 11:52:13.337259,52.6,86.6,25440,12,False,349.0,22,
18,2023-06-02 11:52:13.427896,54.8,86.6,25440,12,False,349.0,22,
10,2023-06-02 11:52:13.503643,55.9,86.6,25440,12,False,349.0,22,
10,2023-06-02 11:52:13.587368,53.7,86.6,25440,12,True,225.0,22,
10,2023-06-02 11:52:13.671017,54.7,86.6,25440,12,True,10.0,22,
10,2023-06-02 11:52:13.754867,53.4,86.6,25440,12,True,43.0,22,
10,2023-06-02 11:52:13.838174,53.0,86.6,25440,12,False,43.0,22,
12,2023-06-02 11:52:13.924634,55.4,86.6,25440,12,False,43.0,22,
10,2023-06-02 11:52:14.007042,52.3,86.6,25440,12,False,43.0,22,
10,2023-06-02 11:52:14.091431,52.9,86.6,25440,12,False,43.0,22,
10,2023-06-02 11:52:14.176021,54.6,86.6,25440,12,False,43.0,22,
10,2023-06-02 11:52:14.259516,52.7,86.6,25440,12,False,43.0,22,
10,2023-06-02 11:52:14.343898,53.6,86.6,25440,12,False,43.0,22,
10,2023-06-02 11:52:14.428620,53.0,86.6,25440,12,True,437.0,22,
10,2023-06-02 11:52:14.512126,52.7,86.6,25440,12,False,437.0,22,
10,2023-06-02 11:52:14.596373,51.9,86.6,25440,12,False,437.0,22,
10,2023-06-02 11:52:14.680715,53.0,86.6,25440,12,False,437.0,22,
10,2023-06-02 11:52:14.764912,51.9,86.6,25440,12,False,437.0,22,
18,2023-06-02 11:52:14.857584,54.1,86.6,25440,12,False,437.0,22,
10,2023-06-02 11:52:14.932640,56.8,86.6,25440,12,False,437.0,22,
10,2023-06-02 11:52:15.017427,52.2,86.6,25440,12,True,117.0,22,
10,2023-06-02 11:52:15.101279,52.6,86.6,25440,12,True,27.0,22,
10,2023-06-02 11:52:15.184395,53.0,86.6,25440,12,False,27.0,22,
11,2023-06-02 11:52:15.269480,53.3,86.6,25440,12,False,27.0,22,
10,2023-06-02 11:52:15.352973,53.0,86.6,25440,12,False,27.0,22,
11,2023-06-02 11:52:15.438218,53.0,86.6,25440,12,False,27.0,22,
10,2023-06-02 11:52:15.521769,53.4,86.6,25440,12,False,27.0,22,
10,2023-06-02 11:52:15.606271,52.6,86.6,25440,12,False,27.0,22,
10,2023-06-02 11:52:15.690536,52.2,86.6,25440,12,False,27.0,22,
10,2023-06-02 11:52:15.774611,53.0,86.6,25440,12,False,27.0,22,
13,2023-06-02 11:52:15.861804,54.2,86.6,25440,12,True,206.0,22,
10,2023-06-02 11:52:15.943247,53.1,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:16.027577,53.3,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:16.111742,53.3,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:16.195982,54.0,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:16.280204,51.9,86.6,25440,12,False,206.0,22,
11,2023-06-02 11:52:16.365493,52.6,86.6,25440,12,False,206.0,22,
11,2023-06-02 11:52:16.449981,53.4,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:16.532557,53.4,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:16.616837,52.2,86.6,25440,12,False,206.0,22,
9,2023-06-02 11:52:16.700733,52.6,86.6,25440,12,False,206.0,22,
10,2023-06-02 11:52:16.784975,50.7,86.6,25440,12,False,206.0,22,
11,2023-06-02 11:52:16.869956,51.1,86.6,25440,12,False,206.0,22,
